SiteID,Data_Name,SiteName,Protocols_Name,Dataset,Masterlist_Name,Masterlist_Path,Data_Path,Protocols_Path
CaseWestern,BT_CaseWestern/,CaseWestern,CaseWestern_2020/,20210422_CW,20210422_CW_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210422_CW_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_CaseWestern/,/cbica/projects/brain_tumor_external/BT_CaseWestern/CaseWestern_2020/Protocols/
Catalan,BT_Catalan/,Catalan,Catalan_2020/,20210127_Catalan,20210127_Catalan_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210127_Catalan_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_Catalan/,/cbica/projects/brain_tumor_external/BT_Catalan/Catalan_2020/Protocols/
Georgetown,BT_Georgetown/,Georgetown,Georgetown_2019/,,,,/cbica/projects/brain_tumor_external/BT_Georgetown/,/cbica/projects/brain_tumor_external/BT_Georgetown/Georgetown_2019/Protocols/
HenryFord,BT_HenryFord/,Henry_Ford,Henry_Ford_2020/,20211221_HF,20211221_HF_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20211221_HF_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_HenryFord/,/cbica/projects/brain_tumor_external/BT_HenryFord/Henry_Ford_2020/Protocols/
Jefferson,BT_Jefferson/,jefferson,jefferson_2020/,20220512_TJU,20220512_TJU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220512_TJU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_Jefferson/,/cbica/projects/brain_tumor_external/BT_Jefferson/jefferson_2020/Protocols/
KCL,BT_KCL/,KCL,KCL_2020/,20220317_KCL,20220317_KCL_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220317_KCL_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_KCL/,/cbica/projects/brain_tumor_external/BT_KCL/KCL_2020/Protocols/
MDA,BT_MDA/,MDA,MDA_2018/,20220310_BraTS_MDA_UAB_WashU,20220310_BraTS_MDA_UAB_WashU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220310_BraTS_MDA_UAB_WashU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_MDA/,/cbica/projects/brain_tumor_external/BT_MDA/MDA_2018/Protocols/
NYU,BT_NYU/,NYU,NYU_2020/,20210209_NYU,20210209_NYU_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210209_NYU_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_NYU/,/cbica/projects/brain_tumor_external/BT_NYU/NYU_2020/Protocols/
OSU,BT_OSU/,OSU,OSU_2020/,20220811_OSU,20220811_OSU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220811_OSU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_OSU/,/cbica/projects/brain_tumor_external/BT_OSU/OSU_2020/Protocols/
RioHortega,BT_RioHortega/,RH,RH_2020/,20221012_RH,,,/cbica/projects/brain_tumor_external/BT_RioHortega/,/cbica/projects/brain_tumor_external/BT_RioHortega/RH_2020/Protocols/
Sydney,BT_Sydney/,Sydney,Sydney_2020/,Sydney_2023,,,/cbica/projects/brain_tumor_external/BT_Sydney/,/cbica/projects/brain_tumor_external/BT_Sydney/Sydney_2020/Protocols/
TMC,BT_TMC/,TMC,TMC_2020/,20210422_TMC,20210422_TMC_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210422_TMC_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_TMC/,/cbica/projects/brain_tumor_external/BT_TMC/TMC_2020/Protocols/
UAB,BT_UAB/,UAB,UAB_2018/,20220310_BraTS_MDA_UAB_WashU,20220310_BraTS_MDA_UAB_WashU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220310_BraTS_MDA_UAB_WashU_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_UAB/,/cbica/projects/brain_tumor_external/BT_UAB/UAB_2018/Protocols/
UCastilla,BT_UCastilla/,UCastilla,UCastilla_2020/,20230324_UCastilla,,,/cbica/projects/brain_tumor_external/BT_UCastilla/,/cbica/projects/brain_tumor_external/BT_UCastilla/UCastilla_2020/Protocols/
UMD,BT_UMD/,UMD,UMD_2020/,UMD,,,/cbica/projects/brain_tumor_external/BT_UMD/,/cbica/projects/brain_tumor_external/BT_UMD/UMD_2020/Protocols/
UPMC,BT_UPMC/,UPMC,UPMC_2020/,20220110_UPMC,20220110_UPMC_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220110_UPMC_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_UPMC/,/cbica/projects/brain_tumor_external/BT_UPMC/UPMC_2020/Protocols/
