Field_Name,Description,Expected_Values
Site,Site ID,character
Dataset,Dataset ID includes processing date and site ID,YYYYMMDD_DatasetName
PTID_Original,Original site-specific subject ID,character
PTID,RESPOND project subject ID,character
BL_ID,Baseline ID,PTID_YYYY.MM.DD or SubID_d0
RC_ID,Recurrence ID,PTID_YYYY.MM.DD or SubID_dxx
BL_MRI_Basic,Availability of 4 basic structural modalities at baseline, (y/n)
BL_MRI_Diff,Availability and type of diffusion imaging at baseline, (ADC/DTI/TR/B0/None)
BL_MRI_Perf,Availability of perfusion imaging at baseline, (y/n)
BL_MRI_ROIs,"Availability of segmented ROIs (passed QC) at baseline, `$PROTOCOLS/6_DeepMedic`", (y/n)
BL_MRI_Date,Date of baseline MR imaging,YYYY.MM.DD or d0
BL_Surg_Date,Date of baseline surgery,YYYY.MM.DD or dxx
RC_Determination,Recurrence determination, (path/clinical)
RC_Progression_Status,Recurrence status, (TP/PsP/None)
Near_Far_ROIs,   Do near_far ROI segmentations exist for this subject in /cbica/projects/brain_tumor_external/Projects/20210205_ReSPOND_recurrence/wdir/20210212_ROI/20220826_ROIsFinal - nearROI =$t_Pure and farROI=$t_Infiltrated," (y/n/""baseline diffusion missing""/""excluded from recurrence study"")"
RC_MRI_Basic,Availability of 4 basic structural modalities at recurrence, (y/n)
RC_MRI_Diff,Availability and type of diffusion imaging at recurrence, (ADC/DTI/TR/B0/None)
RC_MRI_Perf,Availability of perfusion imaging at recurrence, (y/n)
RC_MRI_ROIs,   Do rec ROI segmentations exist for this subject in /cbica/projects/brain_tumor_external/Projects/20210205_ReSPOND_recurrence/wdir/20210212_ROI/20220826_ROIsFinal - recROI=$t_RECinED_ROI," (y/n/""no recurrence"")"
RC_MRI_Date,Date of recurrence MR imaging,YYYY.MM.DD or dxx
RC_Surg_Date,Date of recurrence surgery,YYYY.MM.DD or dxx
Deceased,Deceased status, (y/n)
Survival,"Overall survival if deceased, time until last checkup if alive (days)",numeric
PFS,Progression Free Survival (days),numeric
Age,Age (years),numeric
Sex,Sex, (M/F)
Race,Race, (White/Black/etc.)
Ethnicity,Hispanic, (Hispanic/Not Hispanic)
EOR,Extent of Resection (categorical),0= biopsy; 1= subtotal; 2= near-total (>90%); 3= gross-total (>95%); 4= supra-total
KPS,Karnofsky Performance Scale,numeric
Radiation_Dose,Dose of radiation (Gy),numeric
TMZ_Concurrent,Concurrent temozolomide treatment, (y/n)
TMZ_Adjuvant,Adjuvant temozolomide treatment, (y/n)
Chemo_Other,Other chemotherapy i.e. not temozolomide,free text
IDH1,IDH1 mutation status,0= Wildtype; 1= Mutant; 2= NOS/NEC; 8 = not tested
MGMT,MGMT methylation status,0= Unmethylated; 1= Methylated; 2= Indeterminate; 8 = not tested
codel_1p19q,1p19q co-deletion status,0= negative/1p19q intact; 1= positive/co-deleted; 2= indeterminate; 8 = not tested
EGFR,EGFR amplification status,0= negative; 1= positive; 2= indeterminate; 8 = not tested
EGFRvIII,EGFRvIII mutation status,0= negative; 1= positive; 2= indeterminate; 8 = not tested
Exclude,Exclusion flag," (Exclude/ """")"
Notes,"Notes e.g. reason for exclusion, need for review, unusual characteristics",free text
